"source_id","parent_segment_id","decision","segment_id"
"3B5A46EB-809A-48B1-AF6B-C83F2CEDAD07","bd0194aa468a6c61e823db3c8b56dccdd71c1cf3c0ea5cdf9f20017ff1450c90","retained","760db0e2d969f4dbf990f037d7c0d0aeeb2904a9b2a9fcca47654253f4070c0c"
"EE28859B-BC24-4D78-BA92-76AB832B6DFF","b4516d9c76ed4727038dd3aa7f8c51eba4b4b4211162ff5bcccff65ba72b81a0","retained","16cfa6df3ef46ad1efe26ba3eae00cde14ab7d0ecfd4f651f0225771bea13e6a"
"EE28859B-BC24-4D78-BA92-76AB832B6DFF","b4516d9c76ed4727038dd3aa7f8c51eba4b4b4211162ff5bcccff65ba72b81a0","excluded","18660ed5d549f34f34dc1e89554f838453f0ecf08e997e79cd89f4ee6ee11e73"
"66DEE839-B3BC-4444-9254-81780AAD6FDB","062a0aae0529115a7cfc4c202283dad4f6d6ae1f2c154e18cc38398a2a0fde5c","retained","26e1411580afaeb11db4d58bb2d4541f8212357c8568d013c321f92e46fa8768"
"471BE39D-A3CF-4717-81F4-EE5BC20DAEB9","0b896f1a57f811af785fe75477d42ee8c015f772ac56f42e593627221c11a458","retained","741b8577bd649fdedbd62072e4215384e0ce3dd506364abfa9d550f773114f56"
"6A6ED61D-3235-47A9-9D56-670D51F62499","8d6d0a5ce305ef97c37540c3b4ee12ddfe8463fed31903b22cce1f8dab098595","retained","2b8a21d53c7122787508fc48a1e16906b1da904c164b9db8f363f78c4f73086d"
"95ACFDF2-BEDB-4B99-B7B8-BC50DBD5C47A","7b2135e9f11cdd24fc28a3785f7612b8c825a9956214bdf517a818f8b110d749","retained","ec9b47919c4b564ac0a0cda5829c9d1b39da6e07697242d85b0bb7ed50d0319d"
"95ACFDF2-BEDB-4B99-B7B8-BC50DBD5C47A","7b2135e9f11cdd24fc28a3785f7612b8c825a9956214bdf517a818f8b110d749","unresolved","b3851f14a2366492fc44b3cdb979eb339e6d9a948f1224977bd6a000c9ad04d6"
"95ACFDF2-BEDB-4B99-B7B8-BC50DBD5C47A","7b2135e9f11cdd24fc28a3785f7612b8c825a9956214bdf517a818f8b110d749","excluded","c48908119ad61d3a01ae8c164f9b654b1c75235611c0774c386fcd1d21a447e6"
"95ACFDF2-BEDB-4B99-B7B8-BC50DBD5C47A","7b2135e9f11cdd24fc28a3785f7612b8c825a9956214bdf517a818f8b110d749","retained","de8c29e4b6c8312c8c25b37175032e326bcc6a1bd4651a31dc8a18a93fd757a8"
"E03C0663-B7F9-4C5F-8101-CAE206B8680B","64485a7cdd75c715e65b4c8b826f3be8aebd42e2190dda6e066ea57cc4d64d41","retained","bc81add8546a35a31ef6a99ae28a1a091fb67ac00b5f6c22178537b449eaa42a"
"E03C0663-B7F9-4C5F-8101-CAE206B8680B","64485a7cdd75c715e65b4c8b826f3be8aebd42e2190dda6e066ea57cc4d64d41","excluded","19707446cc3dc33f1f04067f076c5cc8f3441391ca58257c822fe7e1309d39b7"
"79707668-0B57-47C2-B69A-B614871F66DA","0652428e054768d64fd445aba475d76d5db56003bda1ca331d4431e7c61978d1","excluded","d4113f30b188940327ed88b9736871051b5ca82b4fe435731935e8e88a237a1d"
"79707668-0B57-47C2-B69A-B614871F66DA","0652428e054768d64fd445aba475d76d5db56003bda1ca331d4431e7c61978d1","retained","39023ca8a0755cf28ff44313eba183d94e7a116346f218ab729ed59451acafe9"
"A83ECA21-F4AE-45AA-B509-12BC2DAFC82F","36c3e43d13bce93ea65bf9ee525e0682179d5d9d86f78bc53c0b4c27b6052324","retained","08365bba828e96c3785396b93fcb60268ebcb586a1700c8e96efcb24469ff9f5"
"A83ECA21-F4AE-45AA-B509-12BC2DAFC82F","36c3e43d13bce93ea65bf9ee525e0682179d5d9d86f78bc53c0b4c27b6052324","excluded","9ecccc0b028023cae06fbb6d0e2169ad305ed1192667c8af28cd210a98dfaced"
"A83ECA21-F4AE-45AA-B509-12BC2DAFC82F","36c3e43d13bce93ea65bf9ee525e0682179d5d9d86f78bc53c0b4c27b6052324","retained","342bb44200b83d340ca796cfadc5d4bab3cc0735e0c7513ef921f91d675f18a4"
"A83ECA21-F4AE-45AA-B509-12BC2DAFC82F","0a01e4ee99c1c06dd71ba1a278273e71521c4bb1fa8b1bde9a657c8d16161274","retained","a58556d924d4c813f437cedc71b3caa92a68412be4df69b7b50840a8996be604"
"A83ECA21-F4AE-45AA-B509-12BC2DAFC82F","0a01e4ee99c1c06dd71ba1a278273e71521c4bb1fa8b1bde9a657c8d16161274","excluded","1e086c13451cb194a2145063fcfdefba0fe5cc89c4ec0c632f02abf19f3f022b"
"A83ECA21-F4AE-45AA-B509-12BC2DAFC82F","0a01e4ee99c1c06dd71ba1a278273e71521c4bb1fa8b1bde9a657c8d16161274","retained","4949a384d4db41e25a13c182ea7164ece13aaabca4b733837fe7f6322011998d"
"EB90A305-5CE9-4B57-8588-F6DB059F4F66","51ee1ff4a112ede347d46f5a35f792172ef8aba3c3ff0c5cee2565fbcce77cd4","retained","137ba663a602c9c9927a40d00ece2ed7a31b0145194a3c56c2332ce63d96f6e2"
"32EBDB63-4F8C-4EAC-8025-0828468FE404","f0ccc4de93d4d33dc51ab985a72dde4789892c4111e15e206b4fcdf944d71b39","excluded","513b6308cf3f17aea26f9abe94a78481a3fa1921a6df1521a9dfc227182c5059"
"32EBDB63-4F8C-4EAC-8025-0828468FE404","f0ccc4de93d4d33dc51ab985a72dde4789892c4111e15e206b4fcdf944d71b39","retained","eb3690dd696019e94cfbda8cd770daf67f73e89c717046a1cfab6c715036273f"
"32EBDB63-4F8C-4EAC-8025-0828468FE404","f0ccc4de93d4d33dc51ab985a72dde4789892c4111e15e206b4fcdf944d71b39","excluded","ce8dbd118b4597b6461eada44ded20ef3b1e53fbaa315ab320d41d3680176fe3"
"32EBDB63-4F8C-4EAC-8025-0828468FE404","f0ccc4de93d4d33dc51ab985a72dde4789892c4111e15e206b4fcdf944d71b39","retained","68d77d6f0ad362aaf0cd1350f0f5d2d50212c131445f7769245b6170d9537419"
"BB1AE88C-3072-4227-BBC8-11A83762CC58","96316944efdabbafedd8626b3e13367a87e84d252565fbef3f0565bd76c14fda","retained","2947a0929f5e98439dcff8606e3d2228786a3e870d82d5db11a9c0994db05f8a"
"7C59B641-36F8-44E9-9D82-889316525A93","08deaf6dfecb3346d6739f137feff7dbff5825fc5125daf225044e2e6c63895f","retained","5895578d6c102d33bfe24b49c3208db23a72faed892c0bb2a5fde4e52da31529"
"7BAD5061-9FE6-4DA5-B8EB-AB6FE9B0BE21","6a7b70a4dcced775c8f38756fe4f566f1c695ca7412e4df05b415fc890e31ab2","retained","959680232d4361b28007de7970e9bf8e219a86ca88444bfb1dc73ede785f862d"
"7BAD5061-9FE6-4DA5-B8EB-AB6FE9B0BE21","6a7b70a4dcced775c8f38756fe4f566f1c695ca7412e4df05b415fc890e31ab2","excluded","cd09b1e6f3b0886149223a3a1eab7bfbc1e940fe03b11a7bf563022c05d64367"
"492D95D8-619D-4AAA-9608-461C5025099D","c8d4200fa25d4d0b53b3fd5e9650e34f5adfd71a3bad7bcb14f0c26e06e2bd1a","retained","6e87e5f19db73ef91f5df95de366a779969ca6960f3b49810c41a946af8a12df"
"492D95D8-619D-4AAA-9608-461C5025099D","c8d4200fa25d4d0b53b3fd5e9650e34f5adfd71a3bad7bcb14f0c26e06e2bd1a","excluded","5b17450ac054631044d60da93fcfe92ecca4649d7d0bbf2f7a41b0857e0c77e8"
"6ADCF347-9C1B-4900-A2F0-D83871C41BA6","6ee76bffa58249566cae6dc10427e6e9b0d050ca201ad9d1d01144db9ff7c295","retained","b7ad660bb482e2c07037191102bd6ca87730aadbcf2ed1494b2f1e8f484316e5"
"6ADCF347-9C1B-4900-A2F0-D83871C41BA6","6ee76bffa58249566cae6dc10427e6e9b0d050ca201ad9d1d01144db9ff7c295","excluded","bef1c4ca9902d49a3c750017359db218bff07da0b1a1586d2009289fffe410d5"
"63E16424-13E3-4230-9791-4FAA6CD346EC","8668764b4c413f3c08348ac60ec3bc719f2167d360811656fc34f13c52e92043","excluded","12ccf800a38aed7a395a6ddee2e4bf04b05e949e292a555878e46f07902170ab"
"63E16424-13E3-4230-9791-4FAA6CD346EC","8668764b4c413f3c08348ac60ec3bc719f2167d360811656fc34f13c52e92043","retained","d3946d96eae8bccf9731ddec78864ce6b70f2a14d5d50f0c27003cd5669ec281"
"8469D4B1-2BB2-4A78-A747-A943A0F2ECC8","db7b3b70df6a9d2a78d3b49bc2e27b07e995e7fb5e1cb091f16e4875361f7ec3","retained","cf93798eaf4a9d8a145b0c0752369cd136fd2c56ff72238326447a305242143a"
"8469D4B1-2BB2-4A78-A747-A943A0F2ECC8","db7b3b70df6a9d2a78d3b49bc2e27b07e995e7fb5e1cb091f16e4875361f7ec3","excluded","cc142f2debcb03b8e83e530d800e01ab3fdf5842934702b3441b642f7f475dbf"
"4C700FCD-C57D-4F0A-BB01-731354B6FFE3","2917dab975ea7cd7dfc43a4d189ad3693bb0d4e1babd22f714e3585a8ad61937","excluded","d489ee5e837d387667a934997b2dc531628e25efd12bdea2dfae70f9ad852be3"
"4C700FCD-C57D-4F0A-BB01-731354B6FFE3","2917dab975ea7cd7dfc43a4d189ad3693bb0d4e1babd22f714e3585a8ad61937","retained","ec88425f4593b509599e824f23ca74c290dcbd5bfbf96e21b51b77378ddff134"
"DE3AF627-2886-4AE6-A8A2-77B1EF160710","d5c83b2250aedc77075ed950cac6acb2df12bcb3bd5485ab46b7578c8b433f64","retained","92f3b3a079bd9494eccf924388a3aa7d0b3d001d54e5189666c27db18b60bfa5"
"DE3AF627-2886-4AE6-A8A2-77B1EF160710","d5c83b2250aedc77075ed950cac6acb2df12bcb3bd5485ab46b7578c8b433f64","excluded","f34c33528e85d59b34b9c5beb458c6a9f99c795d40a9ca9d6d340f9431327c4f"
"832C42CB-36D9-4A7B-94FC-26DFFD65C16E","d77926fddd0933ebcef1d51b64a9143617276e8a6e890d931d3ad2820d73395a","retained","bf47025ef4930c32fe6df5404b918e0a309cb4e43093f545b4470f9920b09849"
"832C42CB-36D9-4A7B-94FC-26DFFD65C16E","d77926fddd0933ebcef1d51b64a9143617276e8a6e890d931d3ad2820d73395a","excluded","e5aabbc8c4fb6bc7a79c94aeb8424389538eb2bd034cfb9d47fb0ba88df9371b"
"BD002219-74D7-434C-B4E9-4A5C6EA9932D","3588d3cacd9fc5895ad329c5ba50c14ca39ba4de870b6590e8177b62cfe68670","retained","16d3c5b57c57b23cfb727df59d1728a10274b6592319fb7caceb8c85d2483542"
"C986DB54-A3BC-415F-8C12-35130C0CB574","2d64defe6dbfbe3c060b39aea2400dca466ff2869169110f8d8969237499382d","excluded","488c41de1f94616f119acc028ba7a39170e1c39a8d94e82f3d24d90cbc8bbed3"
"8FD3C4AD-5C68-491E-94F1-777B249A15B8","54e1b9441a21fb6ad6d92010fe37ed3cfc92d0a57d2d0f59d3974088e456b0e0","excluded","18e25170ff5207a0443ce30417bce9a6d304a5463d059285b88c22bf5d2a6773"
"3642AB87-B3C2-4D66-A79E-70A9B6B29E4F","f38ce9540d59c06729b707a44e906d39a5a3956db5a5da2b26d1393bcbee46d0","excluded","31d56f9f8db33674e423554e639d610e2dcd1f6a825faef5c535fad78fb1dfbe"
"3CDDD48A-D8E3-43E3-AACC-99A16C07E247","bd9fa03b0cf6d9d4923051b489967e0802dfdfef115a444002ed485a42cbefac","excluded","15cf37b657892e7aa6584df65fc7694f66bd1dc4b2700089e7e9dfc79c99b4b1"
"46C3219E-88D6-4BB2-9B28-143E54B8361D","42c10c9fa4827febd8d53e322bd581e528bf8e876c9efeea08b8ee60a3e35d55","retained","cc66fe5b2ac72e84d7fd0b3d423e9b35ac284d9737eb243092ef8802ba601507"
"46C3219E-88D6-4BB2-9B28-143E54B8361D","42c10c9fa4827febd8d53e322bd581e528bf8e876c9efeea08b8ee60a3e35d55","excluded","70095a6a2146b9265ab893ae252f6c3005e9f87cba18e5765f496a99736dce41"
"A096C47F-98AF-43D3-BB86-8992A8706E08","3e5d087ca6d5e5f90ad5fd134c1184bd5e8bbdeee20c455509a85320fce2b8c2","excluded","3c7a2b84b07a994386e7142d81c6920fad4caa0ecf412bb08a388f73b4bd4c36"
"A096C47F-98AF-43D3-BB86-8992A8706E08","3e5d087ca6d5e5f90ad5fd134c1184bd5e8bbdeee20c455509a85320fce2b8c2","retained","1570702d687b1e64489a841f0f71def18067ad31f01c92b70e0e0b127f446924"
"F9957E49-384C-473C-B42A-275F7DF15B89","19ef5f6d35f636a4c9f91858f34574241e4fc8d026a604af868c0073320dcc65","retained","389db52a41e4f9d68f4104ede6c270db478c1273682853a2fbd07fbacee651ea"
"F9957E49-384C-473C-B42A-275F7DF15B89","19ef5f6d35f636a4c9f91858f34574241e4fc8d026a604af868c0073320dcc65","unresolved","d5db113d57a7218fca56cf436773541ab1da101e2c7a3eaa21f2b676b31c5dac"
"F9957E49-384C-473C-B42A-275F7DF15B89","19ef5f6d35f636a4c9f91858f34574241e4fc8d026a604af868c0073320dcc65","retained","5b3b78615c55f6674d085f3a2b5c094b0a28efe83e3a76785bbe662260b17497"
"45ACFD25-ACDF-4A7A-B58A-36D67E2E0DC6","d8a587cacf9433b56974a70848207c23ebaa9d18dee5486faefa31db1e623362","retained","71129fa010afcf4276d8d1107e1527dd18435d030c0111d5d0739dd6bea29cd0"
"45ACFD25-ACDF-4A7A-B58A-36D67E2E0DC6","234c16351fea0238ee9cc536743cd51c5208ebbf3baa61c989eec8230607788f","retained","6ed4d4548ab79280af9bdef9835f6109b3492c25d8afd64ed1667d9f5ae546f3"
"45ACFD25-ACDF-4A7A-B58A-36D67E2E0DC6","234c16351fea0238ee9cc536743cd51c5208ebbf3baa61c989eec8230607788f","excluded","1f7391d7ee63119cea754f09684ebb6686e2852d1284f46fa140e3c2febc770e"
"5EA9141F-12E3-477F-8434-13EA7F6165CA","355e874a510bfc9e0f9644373ce8a47fd9c1a4366a16b864f1adb0dea375dff2","excluded","d3fb3fdd1b96952b1929c40e98538dc5bbcccc8ee36572ba9826a5a03e969c3c"
"B15023B5-C6E4-44EC-990B-2FD78E857BF7","03358206b937a817492eb1f262237207ace82685b9580a04f49f15e6c8268e42","retained","32e6187767ea12b7270412c65b4fc4c5d0e6686a428a6a9cb3e12f91434db030"
"B15023B5-C6E4-44EC-990B-2FD78E857BF7","03358206b937a817492eb1f262237207ace82685b9580a04f49f15e6c8268e42","excluded","2468e5e6967b21f7b930db8f8c7672a8100f54ec949c046c4eecc7b0d6929468"
"D21BA44C-188F-40BD-8CD5-A43E51B2A8F7","ef01f6bcf4e0886f8b85aad89f063fc7995e5999c81db53bdf8548df3a0d3ec6","excluded","4afecba92085a40ed5c339c25d304c3d85253febd06df557886c022464792050"
"D21BA44C-188F-40BD-8CD5-A43E51B2A8F7","ef01f6bcf4e0886f8b85aad89f063fc7995e5999c81db53bdf8548df3a0d3ec6","retained","e615470413670d9f2f70568354ec1535a2fa8a8f88f5b7853cbf986aaaae3f7c"
"7E474D15-149C-4086-BE9C-360927B44883","ee24f0f7749ee97a1ee0f3108a3953669fcda62b462a9ccd14b8d5dd637a6052","retained","5a7afc75e4dbe09c41a849df13169c17f0ada40cc520cacebe71b9ef889a2182"
