"segment_row","max_river_gap_m","max_transitional_gap_m","max_noncoastal_gap_m","water_ids","water_names","segment_id","source_id","min_coastal_gap_m","proposed_exclusion","evidence_url"
2824,2459.66851601981,98.3758671660697,98.3758671660697,"GB205030056405","East & West Fen Drains","853e58f81d976ff4d3c78aaaf3c7927aa1e38212f070596167d643aafcec8974","12D465D8-5241-4B3D-8FC8-E2E2EFB18367",4308.47777071051,TRUE,"https://environment.data.gov.uk/dataset/b0dc3be8-3384-423d-af5d-a93934565bc7"
2825,471.649292533287,52.0360837297744,52.0360837297744,"GB205030056405","East & West Fen Drains","66fa06d35a530268ff8d6895f48667d309ef638637a10618210a292fb7528cc0","8A1874CC-5197-4683-A1E2-038FBBB2611D",3624.77552721518,TRUE,"https://environment.data.gov.uk/dataset/b0dc3be8-3384-423d-af5d-a93934565bc7"
2826,3908.47024405434,58.0943259364449,58.0943259364449,"GB205030056405","East & West Fen Drains","f015a629af84be2053edaa8dcc539dc30ead8074ae1cb0f1fc3147209ff9a190","7CAA1FA3-E7D4-4243-988E-62C6684A5D7A",3849.50285034824,TRUE,"https://environment.data.gov.uk/dataset/b0dc3be8-3384-423d-af5d-a93934565bc7"
2827,3888.33519640858,63.6405652638244,63.6405652638244,"GB205030056405","East & West Fen Drains","7a83ada97834726ad80dae44b6ccb43794d55e7cb3b0813145051d782c88c237","7CAA1FA3-E7D4-4243-988E-62C6684A5D7A",3846.18510035355,TRUE,"https://environment.data.gov.uk/dataset/b0dc3be8-3384-423d-af5d-a93934565bc7"
2828,2797.48093860429,54.5792605344523,54.5792605344523,"GB205030056405","East & West Fen Drains","0f23a386de2bb691f1061538b169feb22f5777e3c14adbf6a2942814aaa6d3b9","C7431C99-4489-4EC7-9AA4-143E26F0788B",1331.61485910746,TRUE,"https://environment.data.gov.uk/dataset/b0dc3be8-3384-423d-af5d-a93934565bc7"
2832,441.708285303606,179.276303116784,179.276303116784,"GB205031055545","Kirton Marsh Drain","4583dfef72036962237fe03bf922de495d261a6d19e4de81107c692b76572b8b","1086CD81-4C71-4F10-B587-F8A8F6388819",8242.30450596115,TRUE,"https://environment.data.gov.uk/dataset/b0dc3be8-3384-423d-af5d-a93934565bc7"
2833,1289.2906602118,58.0426411690051,58.0426411690051,"GB205031055545","Kirton Marsh Drain","b996ebb4b14b1edcfaeab8a6b501c3fd10719515222d92c01132bc1640b150b0","16EC195E-D669-4328-8E0B-A2A0D04B643D",7207.30675042813,TRUE,"https://environment.data.gov.uk/dataset/b0dc3be8-3384-423d-af5d-a93934565bc7"
2834,9733.41817804261,54.10310856062,54.10310856062,"GB205032050405","South Holland Main Drain","2c131cdc02ba3efd0efb7480601030cf797cd2c4672d5c4695baf0e2cea52656","3FD4A7A7-04BF-4AF0-B157-BCCC3F8080F4",4495.338424148,TRUE,"https://environment.data.gov.uk/dataset/b0dc3be8-3384-423d-af5d-a93934565bc7"
2835,9109.67139522583,144.212061865144,144.212061865144,"GB205032050405","South Holland Main Drain","6f8c24833db3f5f50f64d019e4d7b5a15bdc98defd9e03a943b88f871720bcd8","3FD4A7A7-04BF-4AF0-B157-BCCC3F8080F4",4867.28960357037,TRUE,"https://environment.data.gov.uk/dataset/b0dc3be8-3384-423d-af5d-a93934565bc7"
2836,9104.61566501889,71.5579724708073,71.5579724708073,"GB205032050405","South Holland Main Drain","b676c794db4d058b74df0b83550f9a9222aac5beb0dddf33e42fe52e76e81026","3FD4A7A7-04BF-4AF0-B157-BCCC3F8080F4",4871.38409445995,TRUE,"https://environment.data.gov.uk/dataset/b0dc3be8-3384-423d-af5d-a93934565bc7"
2837,8599.26274789523,136.606220137136,136.606220137136,"GB205032050405","South Holland Main Drain","86910e5c91651cf077c5212d2f15e3921cd52f8f13117ad1b160c47f1ed18b7f","3FD4A7A7-04BF-4AF0-B157-BCCC3F8080F4",5315.49757529375,TRUE,"https://environment.data.gov.uk/dataset/b0dc3be8-3384-423d-af5d-a93934565bc7"
2838,8308.11864301855,51.7711449941397,51.7711449941397,"GB205032050405","South Holland Main Drain","8a4c23ad5221e9df9a7e97e2e672ca7298c3747c8e06aac5e68e4c7268157622","3FD4A7A7-04BF-4AF0-B157-BCCC3F8080F4",5532.56934642536,TRUE,"https://environment.data.gov.uk/dataset/b0dc3be8-3384-423d-af5d-a93934565bc7"
2858,2940.78448856952,56.9050104449154,56.9050104449154,"GB105034055750","Burn","9314b9a49565ac9cd699c4d760f8eae608aec66452c6b51ab608462e0ae7b3c4","67B21FC3-D61B-407B-A478-A308D707ADE1",1298.15798249259,TRUE,"https://environment.data.gov.uk/dataset/b0dc3be8-3384-423d-af5d-a93934565bc7"
2868,1486.52520929531,58.6588878913444,58.6588878913444,"GB105034055840","Stiffkey","5817993fb3220b767d23e612fd6acf429a1578b06da9ed78aeaf2a2905b6a4bd","4C03D578-7B1E-4CCB-8A72-236C33EABF83",1620.85940346485,TRUE,"https://environment.data.gov.uk/dataset/b0dc3be8-3384-423d-af5d-a93934565bc7"
2869,1553.84147758065,98.9477229504088,98.9477229504088,"GB105034055840","Stiffkey","5aed6d6fdecc51f891d4d1429d3e121adefd130869d9430a7b114162f2700408","4C03D578-7B1E-4CCB-8A72-236C33EABF83",1561.43022253553,TRUE,"https://environment.data.gov.uk/dataset/b0dc3be8-3384-423d-af5d-a93934565bc7"
2870,1747.35683169696,87.1170495146616,87.1170495146616,"GB105034055840","Stiffkey","c371df67fdb7395a5d68f80f01ce2562def006983295d5f306454dddab4e7ef5","7CDFA32D-93FB-4EB2-A4D7-3A9A5CD3493E",2184.54427831246,TRUE,"https://environment.data.gov.uk/dataset/b0dc3be8-3384-423d-af5d-a93934565bc7"
