"specification","market","comparison","group","stage","baseline","baseline_n","variant_n","retained","left","entered"
"did_articles_prior_salience_groups","rentals","london_excluded","inland","fitted","headline",43228,37405,37405,5823,0
"did_articles_prior_salience_groups","rentals","bathing_2021","bathing","selected","headline",2826,2361,2361,465,0
"did_articles_prior_salience_groups","rentals","bathing_2021","bathing","fitted","headline",2715,2260,2260,455,0
"did_articles_prior_salience_groups","rentals","coast_definition","bathing","selected","legacy_london_excluded",2826,2826,2826,0,0
"did_articles_prior_salience_groups","rentals","coast_definition","bathing","fitted","legacy_london_excluded",2715,2715,2715,0,0
"did_articles_prior_salience_groups","rentals","coast_definition","coastal","selected","legacy_london_excluded",8824,2249,2249,6575,0
"did_articles_prior_salience_groups","rentals","coast_definition","coastal","fitted","legacy_london_excluded",8621,2168,2168,6453,0
"did_articles_prior_salience_groups","rentals","coast_definition","inland","selected","legacy_london_excluded",31762,38337,31762,0,6575
"did_articles_prior_salience_groups","rentals","coast_definition","inland","fitted","legacy_london_excluded",30955,37405,30955,0,6450
"hedonic_count_continuous_prior_salience_groups","sales","london_excluded","bathing","selected","headline",15433,15433,15433,0,0
"hedonic_count_continuous_prior_salience_groups","sales","london_excluded","bathing","fitted","headline",15384,15384,15384,0,0
"hedonic_count_continuous_prior_salience_groups","sales","london_excluded","coastal","selected","headline",12637,12637,12637,0,0
"hedonic_count_continuous_prior_salience_groups","sales","london_excluded","coastal","fitted","headline",12600,12600,12600,0,0
"hedonic_count_continuous_prior_salience_groups","sales","london_excluded","inland","selected","headline",153555,147481,147481,6074,0
"hedonic_count_continuous_prior_salience_groups","sales","london_excluded","inland","fitted","headline",153115,147049,147049,6066,0
"hedonic_count_continuous_prior_salience_groups","sales","bathing_2021","bathing","selected","headline",15433,12776,12776,2657,0
"hedonic_count_continuous_prior_salience_groups","sales","bathing_2021","bathing","fitted","headline",15384,12732,12732,2652,0
"hedonic_count_continuous_prior_salience_groups","sales","coast_definition","bathing","selected","legacy_london_excluded",15433,15433,15433,0,0
"hedonic_count_continuous_prior_salience_groups","sales","coast_definition","bathing","fitted","legacy_london_excluded",15384,15384,15384,0,0
"hedonic_count_continuous_prior_salience_groups","sales","coast_definition","coastal","selected","legacy_london_excluded",34497,12637,12637,21860,0
"hedonic_count_continuous_prior_salience_groups","sales","coast_definition","coastal","fitted","legacy_london_excluded",34399,12600,12600,21799,0
"hedonic_count_continuous_prior_salience_groups","sales","coast_definition","inland","selected","legacy_london_excluded",125621,147481,125621,0,21860
"hedonic_count_continuous_prior_salience_groups","sales","coast_definition","inland","fitted","legacy_london_excluded",125247,147049,125247,0,21802
"hedonic_count_continuous_prior_salience_groups","rentals","london_excluded","bathing","selected","headline",2783,2783,2783,0,0
"hedonic_count_continuous_prior_salience_groups","rentals","london_excluded","bathing","fitted","headline",2674,2674,2674,0,0
"hedonic_count_continuous_prior_salience_groups","rentals","london_excluded","coastal","selected","headline",2247,2247,2247,0,0
"hedonic_count_continuous_prior_salience_groups","rentals","london_excluded","coastal","fitted","headline",2166,2166,2166,0,0
"hedonic_count_continuous_prior_salience_groups","rentals","london_excluded","inland","selected","headline",44177,38339,38339,5838,0
"hedonic_count_continuous_prior_salience_groups","rentals","london_excluded","inland","fitted","headline",43230,37407,37407,5823,0
"hedonic_count_continuous_prior_salience_groups","rentals","bathing_2021","bathing","selected","headline",2783,2321,2321,462,0
"hedonic_count_continuous_prior_salience_groups","rentals","bathing_2021","bathing","fitted","headline",2674,2223,2223,451,0
"hedonic_count_continuous_prior_salience_groups","rentals","coast_definition","bathing","selected","legacy_london_excluded",2783,2783,2783,0,0
"hedonic_count_continuous_prior_salience_groups","rentals","coast_definition","bathing","fitted","legacy_london_excluded",2674,2674,2674,0,0
"hedonic_count_continuous_prior_salience_groups","rentals","coast_definition","coastal","selected","legacy_london_excluded",8821,2247,2247,6574,0
"hedonic_count_continuous_prior_salience_groups","rentals","coast_definition","coastal","fitted","legacy_london_excluded",8617,2166,2166,6451,0
"hedonic_count_continuous_prior_salience_groups","rentals","coast_definition","inland","selected","legacy_london_excluded",31765,38339,31765,0,6574
"hedonic_count_continuous_prior_salience_groups","rentals","coast_definition","inland","fitted","legacy_london_excluded",30958,37407,30958,0,6449
