"variant","specification","term","estimate","std_error","conf_low","conf_high","p_value","nobs","market","group","fit_status","reason"
"london_excluded","did_trends_prior_extensive_salience_groups","near_bin",0.0530662892235668,0.0291481687160172,-0.00408836507647849,0.110220943523612,0.068781437998824,193843,"sales","bathing","available",NA
"london_excluded","did_trends_prior_extensive_salience_groups","near_bin:post",-0.00938162095315532,0.00870715525650342,-0.0264548873209601,0.00769164541464946,0.281369350372851,193843,"sales","bathing","available",NA
"london_excluded","did_trends_prior_extensive_salience_groups","near_bin",0.0766249721567644,0.0314680329451474,0.0149124134995411,0.138337530813988,0.014975942935229,156294,"sales","coastal","available",NA
"london_excluded","did_trends_prior_extensive_salience_groups","near_bin:post",-0.0151392240009397,0.0105425851999849,-0.0358144885999991,0.00553604059811961,0.151152607539265,156294,"sales","coastal","available",NA
"london_excluded","did_trends_prior_extensive_salience_groups","near_bin",-0.0707522404366345,0.00627692887882946,-0.08305546500078,-0.058449015872489,2.17326093169512e-29,1600327,"sales","inland","available",NA
"london_excluded","did_trends_prior_extensive_salience_groups","near_bin:post",6.05570564006225e-05,0.00222168332115256,-0.00429409939075888,0.00441521350356013,0.978254770220158,1600327,"sales","inland","available",NA
"london_excluded","did_trends_prior_extensive_salience_groups","near_bin",-0.0117473157889146,0.0172976000246537,-0.045668917909922,0.0221742863320928,0.497128077025337,41966,"rentals","bathing","available",NA
"london_excluded","did_trends_prior_extensive_salience_groups","near_bin:post",-0.000956385088980222,0.00507475659533648,-0.0109082786373691,0.00899550845940863,0.850534245835686,41966,"rentals","bathing","available",NA
"london_excluded","did_trends_prior_extensive_salience_groups","near_bin",0.0287231037719312,0.0279902391851377,-0.0261771266106987,0.083623334154561,0.304956176596458,33248,"rentals","coastal","available",NA
"london_excluded","did_trends_prior_extensive_salience_groups","near_bin:post",-0.00276155775168861,0.00543553857663488,-0.0134228571474214,0.00789974164404423,0.61148217729678,33248,"rentals","coastal","available",NA
"london_excluded","did_trends_prior_extensive_salience_groups","near_bin",-0.024980409032769,0.00516505161218207,-0.0351043660938807,-0.0148564519716574,1.33222114369658e-06,367021,"rentals","inland","available",NA
"london_excluded","did_trends_prior_extensive_salience_groups","near_bin:post",0.000791376208489781,0.00189060939318331,-0.00291438507969916,0.00449713749667872,0.675525912339755,367021,"rentals","inland","available",NA
"london_excluded","did_articles_prior_extensive_salience_groups","near_bin",0.056654214049484,0.0300628225710201,-0.0022939225580166,0.115602350656985,0.0595996226213774,193843,"sales","bathing","available",NA
"london_excluded","did_articles_prior_extensive_salience_groups","near_bin:log_cumulative_articles",-0.00176323834732541,0.00200603681851254,-0.00569673900708533,0.00217026231243451,0.379496874848483,193843,"sales","bathing","available",NA
"london_excluded","did_articles_prior_extensive_salience_groups","near_bin",0.0846253022532833,0.0326299441981372,0.0206340973114444,0.148616507195122,0.00956829205277548,156294,"sales","coastal","available",NA
"london_excluded","did_articles_prior_extensive_salience_groups","near_bin:log_cumulative_articles",-0.0033045294795199,0.00236131670747249,-0.00793535264130412,0.00132629368226433,0.161830936015372,156294,"sales","coastal","available",NA
"london_excluded","did_articles_prior_extensive_salience_groups","near_bin",-0.0701373821576756,0.00690716314571046,-0.0836759104608213,-0.05659885385453,3.58062757097701e-24,1600327,"sales","inland","available",NA
"london_excluded","did_articles_prior_extensive_salience_groups","near_bin:log_cumulative_articles",-0.00011858577652855,0.000680681680030742,-0.00145277001340328,0.00121559846034618,0.861697140301726,1600327,"sales","inland","available",NA
"london_excluded","did_articles_prior_extensive_salience_groups","near_bin",-0.0260412806939551,0.0192811167841419,-0.0638526748219351,0.0117701134340249,0.176961093178763,41966,"rentals","bathing","available",NA
"london_excluded","did_articles_prior_extensive_salience_groups","near_bin:log_cumulative_articles",0.00275834915276626,0.00180231041175594,-0.000776086641736846,0.00629278494726937,0.126050767142077,41966,"rentals","bathing","available",NA
"london_excluded","did_articles_prior_extensive_salience_groups","near_bin",0.0207096976087917,0.0294662139392751,-0.0370855188975763,0.0785049141151597,0.482261963888795,33248,"rentals","coastal","available",NA
"london_excluded","did_articles_prior_extensive_salience_groups","near_bin:log_cumulative_articles",0.00127799503153826,0.00208045121045925,-0.00280261499821386,0.00535860506129038,0.539110300652675,33248,"rentals","coastal","available",NA
"london_excluded","did_articles_prior_extensive_salience_groups","near_bin",-0.0309285664787052,0.0062182977848115,-0.043116979004566,-0.0187401539528444,6.62233025451988e-07,367021,"rentals","inland","available",NA
"london_excluded","did_articles_prior_extensive_salience_groups","near_bin:log_cumulative_articles",0.00129726938492574,0.000728206003031385,-0.000130078657240084,0.00272461742709156,0.0748533362548053,367021,"rentals","inland","available",NA
"london_excluded","did_trends_prior_salience_groups","spill_count_weekly_avg",-0.00687788498605498,0.0148661557389441,-0.0360702213986601,0.0223144514265502,0.643769721685482,15630,"sales","bathing","available",NA
"london_excluded","did_trends_prior_salience_groups","spill_count_weekly_avg:post",-0.00098102830518402,0.0148510758449166,-0.0301437526682958,0.0281816960579277,0.94735249590984,15630,"sales","bathing","available",NA
"london_excluded","did_trends_prior_salience_groups","spill_count_weekly_avg",-0.0137841666068211,0.0157552158175898,-0.0447378610835387,0.0171695278698965,0.382045875384276,12624,"sales","coastal","available",NA
"london_excluded","did_trends_prior_salience_groups","spill_count_weekly_avg:post",0.0107911477634328,0.0212205662931578,-0.0309001202754346,0.0524824158023001,0.611308191662729,12624,"sales","coastal","available",NA
"london_excluded","did_trends_prior_salience_groups","spill_count_weekly_avg",0.00473584383187416,0.00454331376917336,-0.00417065707276131,0.0136423447365096,0.297278487202191,147025,"sales","inland","available",NA
"london_excluded","did_trends_prior_salience_groups","spill_count_weekly_avg:post",0.00377921194344092,0.00502639402814926,-0.00607429702230922,0.0136327209091911,0.452156245497838,147025,"sales","inland","available",NA
"london_excluded","did_trends_prior_salience_groups","spill_count_weekly_avg",-0.00508204562169995,0.0201634320824114,-0.0447489106947187,0.0345848194513188,0.801166891894114,2715,"rentals","bathing","available",NA
"london_excluded","did_trends_prior_salience_groups","spill_count_weekly_avg:post",0.00609609888674948,0.0149204759466765,-0.0232564688598053,0.0354486666333042,0.683121529351393,2715,"rentals","bathing","available",NA
"london_excluded","did_trends_prior_salience_groups","spill_count_weekly_avg",-0.00879705549919556,0.0194122260883583,-0.0470229424846328,0.0294288314862416,0.650805118934291,2168,"rentals","coastal","available",NA
"london_excluded","did_trends_prior_salience_groups","spill_count_weekly_avg:post",0.000551170135194117,0.0138530495493839,-0.0267277778879789,0.0278301181583671,0.968293658129786,2168,"rentals","coastal","available",NA
"london_excluded","did_trends_prior_salience_groups","spill_count_weekly_avg",-0.00242229287650293,0.00308027546965862,-0.00846172031493938,0.00361713456193353,0.431696021701012,37405,"rentals","inland","available",NA
"london_excluded","did_trends_prior_salience_groups","spill_count_weekly_avg:post",0.00685631035225487,0.00316141960444025,0.000657785417865343,0.0130548352866444,0.0301727787510204,37405,"rentals","inland","available",NA
"london_excluded","did_articles_prior_salience_groups","spill_count_weekly_avg",-0.00169839328573791,0.0185120968603536,-0.0380501824597532,0.0346533958882774,0.926929310581177,15630,"sales","bathing","available",NA
"london_excluded","did_articles_prior_salience_groups","spill_count_weekly_avg:log_cumulative_articles",-0.00150088516764513,0.00334544291419496,-0.00807025634303964,0.00506848600774938,0.653846321778802,15630,"sales","bathing","available",NA
"london_excluded","did_articles_prior_salience_groups","spill_count_weekly_avg",-0.0158318347772225,0.0200688823648269,-0.0552604316560095,0.0235967621015646,0.430554662616305,12624,"sales","coastal","available",NA
"london_excluded","did_articles_prior_salience_groups","spill_count_weekly_avg:log_cumulative_articles",0.00132309056796219,0.00479313870411112,-0.00809381318945535,0.0107399943253797,0.782631237789748,12624,"sales","coastal","available",NA
"london_excluded","did_articles_prior_salience_groups","spill_count_weekly_avg",0.00909772588772857,0.00542010402079309,-0.00152759382757591,0.019723045603033,0.0932978932506667,147025,"sales","inland","available",NA
"london_excluded","did_articles_prior_salience_groups","spill_count_weekly_avg:log_cumulative_articles",-0.00102701339642118,0.00139774743561777,-0.00376709242953771,0.00171306563669536,0.462511996663857,147025,"sales","inland","available",NA
"london_excluded","did_articles_prior_salience_groups","spill_count_weekly_avg",-0.00899467030171293,0.0264845507492052,-0.061096866832265,0.0431075262288391,0.734361771808407,2715,"rentals","bathing","available",NA
"london_excluded","did_articles_prior_salience_groups","spill_count_weekly_avg:log_cumulative_articles",0.00157594651074635,0.00464511282311388,-0.00756223308339799,0.0107141261048907,0.734624935753357,2715,"rentals","bathing","available",NA
"london_excluded","did_articles_prior_salience_groups","spill_count_weekly_avg",0.000212221805903107,0.0257123751399591,-0.0504197016918704,0.0508441453036766,0.99342094193319,2168,"rentals","coastal","available",NA
"london_excluded","did_articles_prior_salience_groups","spill_count_weekly_avg:log_cumulative_articles",-0.00221831278111378,0.00385131523683153,-0.00980219009216072,0.00536556452993317,0.565123192559108,2168,"rentals","coastal","available",NA
"london_excluded","did_articles_prior_salience_groups","spill_count_weekly_avg",-0.00873326241392727,0.00361650276795025,-0.0158240587609049,-0.00164246606694965,0.0157959172589474,37405,"rentals","inland","available",NA
"london_excluded","did_articles_prior_salience_groups","spill_count_weekly_avg:log_cumulative_articles",0.00224051884343568,0.000985473339282286,0.000308323238291099,0.00417271444858026,0.0230568009855633,37405,"rentals","inland","available",NA
"london_excluded","hedonic_count_continuous_prior_salience_groups","spill_count_weekly_avg",-0.023755210662463,0.0124317763283794,-0.0481230449318251,0.000612623606899038,0.0560437412657784,15384,"sales","bathing","available",NA
"london_excluded","hedonic_count_continuous_prior_salience_groups","spill_count_weekly_avg",-0.0204773541444639,0.0128039495345362,-0.0455751475316645,0.00462043924273658,0.109780139228072,12600,"sales","coastal","available",NA
"london_excluded","hedonic_count_continuous_prior_salience_groups","spill_count_weekly_avg",-0.00720889726464391,0.00314969123908021,-0.0133822316676383,-0.00103556286164952,0.0220945894696709,147049,"sales","inland","available",NA
"london_excluded","hedonic_count_continuous_prior_salience_groups","spill_count_weekly_avg",-0.0213836382215573,0.0143179103203299,-0.049460718555888,0.00669344211277338,0.135443824074617,2674,"rentals","bathing","available",NA
"london_excluded","hedonic_count_continuous_prior_salience_groups","spill_count_weekly_avg",-0.0186728163866126,0.0162133245206828,-0.0504706045694948,0.0131249717962695,0.249591031726538,2166,"rentals","coastal","available",NA
"london_excluded","hedonic_count_continuous_prior_salience_groups","spill_count_weekly_avg",-0.0234594928294777,0.0021444777491636,-0.0276627412897167,-0.0192562443692387,8.30103679038756e-28,37407,"rentals","inland","available",NA
"bathing_2021","did_trends_prior_extensive_salience_groups","near_bin",0.0568578236077754,0.033185921665163,-0.0082192802173692,0.12193492743292,0.0867886012355829,162336,"sales","bathing","available",NA
"bathing_2021","did_trends_prior_extensive_salience_groups","near_bin:post",-0.0136390510077266,0.00992153431708077,-0.0330950337395604,0.00581693172410719,0.169359569349019,162336,"sales","bathing","available",NA
"bathing_2021","did_trends_prior_extensive_salience_groups","near_bin",-0.0148465630991377,0.0191360391709196,-0.0523772926535523,0.0226841664552769,0.437941745915761,35950,"rentals","bathing","available",NA
"bathing_2021","did_trends_prior_extensive_salience_groups","near_bin:post",0.00105633515242605,0.00522717496247753,-0.00919550892555215,0.0113081792304042,0.8398724751,35950,"rentals","bathing","available",NA
"bathing_2021","did_articles_prior_extensive_salience_groups","near_bin",0.0619180224008483,0.0340781254060481,-0.00490867982522641,0.128744724626923,0.0693545403020473,162336,"sales","bathing","available",NA
"bathing_2021","did_articles_prior_extensive_salience_groups","near_bin:log_cumulative_articles",-0.00253012423657691,0.00226081793283257,-0.00696355491929745,0.00190330644614363,0.263205041800117,162336,"sales","bathing","available",NA
"bathing_2021","did_articles_prior_extensive_salience_groups","near_bin",-0.0277151339792248,0.0212990412987241,-0.0694880709810204,0.0140578030225709,0.193340341085685,35950,"rentals","bathing","available",NA
"bathing_2021","did_articles_prior_extensive_salience_groups","near_bin:log_cumulative_articles",0.0027140577534462,0.00197123845308509,-0.00115205145594687,0.00658016696283927,0.168733334884844,35950,"rentals","bathing","available",NA
"bathing_2021","did_trends_prior_salience_groups","spill_count_weekly_avg",-0.000929587424007484,0.0172311425944591,-0.0347782961996107,0.0329191213515957,0.956996576921918,13012,"sales","bathing","available",NA
"bathing_2021","did_trends_prior_salience_groups","spill_count_weekly_avg:post",-0.0179286762302721,0.0183341514367344,-0.0539441261186265,0.0180867736580824,0.328571944423796,13012,"sales","bathing","available",NA
"bathing_2021","did_trends_prior_salience_groups","spill_count_weekly_avg",-0.00973617381044115,0.0216704953588191,-0.0523980031526295,0.0329256555317472,0.653583065156765,2260,"rentals","bathing","available",NA
"bathing_2021","did_trends_prior_salience_groups","spill_count_weekly_avg:post",0.000696183848771285,0.0162963483999113,-0.0313857793378675,0.0327781470354101,0.965955662593676,2260,"rentals","bathing","available",NA
"bathing_2021","did_articles_prior_salience_groups","spill_count_weekly_avg",0.0124927711646315,0.0219454726799307,-0.0306167272109897,0.0556022695402526,0.569414908548031,13012,"sales","bathing","available",NA
"bathing_2021","did_articles_prior_salience_groups","spill_count_weekly_avg:log_cumulative_articles",-0.00493908117070147,0.003961813732558,-0.012721634099006,0.0028434717576031,0.213061397946693,13012,"sales","bathing","available",NA
"bathing_2021","did_articles_prior_salience_groups","spill_count_weekly_avg",-0.00781399424095953,0.0319964722594404,-0.0708041574320742,0.0551761689501552,0.80724766497746,2260,"rentals","bathing","available",NA
"bathing_2021","did_articles_prior_salience_groups","spill_count_weekly_avg:log_cumulative_articles",-0.000378689745338825,0.00552348069639577,-0.0112525432010519,0.0104951637103742,0.945389877775113,2260,"rentals","bathing","available",NA
"bathing_2021","hedonic_count_continuous_prior_salience_groups","spill_count_weekly_avg",-0.0207063801364302,0.013954576300357,-0.0480595610376584,0.00664680076479805,0.13787679655757,12732,"sales","bathing","available",NA
"bathing_2021","hedonic_count_continuous_prior_salience_groups","spill_count_weekly_avg",-0.0206898670537711,0.0165718801696211,-0.0531903800488422,0.0118106459413001,0.21200103424257,2223,"rentals","bathing","available",NA
